id,category
0,2
1,10
2,0
3,9
4,6
5,3
6,0
7,4
8,3
9,2
10,2
11,0
12,3
13,10
14,4
15,4
16,9
17,4
18,2
19,9
20,3
21,5
22,9
23,3
24,2
25,8
26,10
27,4
28,9
29,8
30,2
31,9
32,2
33,4
34,2
35,9
36,8
37,10
38,10
39,2
40,4
41,2
42,2
43,2
44,5
45,2
46,10
47,0
48,5
49,9
50,10
51,1
52,3
53,4
54,0
55,8
56,5
57,9
58,6
59,9
60,5
61,8
62,9
63,3
64,10
65,2
66,1
67,9
68,9
69,3
70,5
71,5
72,6
73,9
74,9
75,5
76,4
77,2
78,2
79,9
80,4
81,0
82,9
83,2
84,6
85,2
86,4
87,4
88,3
89,9
90,5
91,4
92,0
93,9
94,6
95,9
96,3
97,2
98,6
99,10
100,2
101,5
102,2
103,2
104,4
105,7
106,6
107,5
108,9
109,3
110,5
111,9
112,4
113,3
114,9
115,4
116,9
117,5
118,9
119,3
120,0
121,4
122,0
123,2
124,1
125,9
126,5
127,8
128,10
129,9
130,5
131,3
132,3
133,0
134,9
135,2
136,3
137,10
138,3
139,0
140,2
141,4
142,5
143,5
144,9
145,4
146,9
147,0
148,2
149,0
150,2
151,4
152,0
153,4
154,2
155,9
156,2
157,2
158,8
159,4
160,5
161,4
162,5
163,5
164,9
165,2
166,5
167,8
168,3
169,9
170,2
171,2
172,4
173,4
174,3
175,2
176,2
177,10
178,8
179,7
180,0
181,4
182,9
183,5
184,0
185,9
186,4
187,2
188,2
189,4
190,2
191,3
192,1
193,4
194,4
195,4
196,8
197,9
198,0
199,9
200,9
201,8
202,5
203,9
204,9
205,9
206,7
207,9
208,10
209,4
210,2
211,5
212,1
213,2
214,2
215,2
216,10
217,0
218,9
219,9
220,0
221,2
222,2
223,6
224,5
225,5
226,9
227,9
228,6
229,4
230,4
231,9
232,2
233,4
234,4
235,9
236,9
237,10
238,4
239,9
240,5
241,3
242,1
243,4
244,2
245,9
246,4
247,9
248,3
249,9
250,9
251,3
252,4
253,2
254,2
255,0
256,2
257,9
258,4
259,7
260,0
261,8
262,4
263,4
264,4
265,9
266,1
267,0
268,0
269,9
270,4
271,0
272,10
273,5
274,5
275,2
276,9
277,2
278,5
279,9
280,9
281,9
282,2
283,4
284,10
285,0
286,2
287,4
288,3
289,10
290,9
291,0
292,8
293,10
294,2
295,0
296,7
297,4
298,8
299,5
300,8
301,9
302,6
303,1
304,0
305,10
306,2
307,3
308,9
309,3
310,9
311,0
312,2
313,8
314,9
315,3
316,9
317,4
318,5
319,9
320,4
321,2
322,5
323,0
324,4
325,2
326,2
327,6
328,10
329,4
330,2
331,0
332,5
333,9
334,4
335,2
336,3
337,2
338,0
339,10
340,9
341,6
342,5
343,3
344,0
345,4
346,4
347,6
348,4
349,9
350,4
351,4
352,6
353,8
354,6
355,5
356,4
357,10
358,8
359,4
360,4
361,5
362,10
363,2
364,9
365,5
366,4
367,2
368,2
369,0
370,9
371,4
372,2
373,4
374,0
375,4
376,9
377,9
378,2
379,5
380,10
381,6
382,0
383,9
384,9
385,5
386,4
387,10
388,10
389,4
390,4
391,0
392,10
393,10
394,9
395,2
396,8
397,8
398,2
399,9
400,9
401,4
402,9
403,9
404,4
405,3
406,2
407,5
408,2
409,4
410,9
411,0
412,0
413,9
414,3
415,7
416,4
417,4
418,2
419,2
420,5
421,2
422,5
423,2
424,3
425,8
426,9
427,9
428,9
429,9
430,9
431,0
432,4
433,2
434,3
435,2
436,8
437,10
438,1
439,9
440,10
441,4
442,1
443,1
444,2
445,3
446,5
447,10
448,0
449,9
450,4
451,9
452,2
453,9
454,6
455,6
456,4
457,5
458,8
459,6
460,10
461,9
462,10
463,4
464,2
465,9
466,6
467,7
468,9
469,0
470,5
471,4
472,8
473,2
474,9
475,6
476,6
477,2
478,0
479,0
480,0
481,4
482,6
483,1
484,10
485,0
486,1
487,9
488,5
489,9
490,5
491,6
492,7
493,2
494,2
495,2
496,8
497,3
498,5
499,10
500,7
501,9
502,9
503,0
504,4
